customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,country,customer_since,date_of_birth,loyalty_status
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Joshua,Walker,rhodespatricia@example.org,001-260-501-3389,"79402 Peterson Drives Apt. 511, Davisstad, PA 35172",Lake Stephenville,Missouri,10829,Micronesia,2017-09-25,1985-04-07,Silver
93cd59bf-5c94-4cf0-9c98-d2c1e2acf72f,James,Jones,kendragalloway@example.org,664-375-2553,"327 Nelson Route, Lake Mark, WI 07832",Port Antonio,Massachusetts,53082,Ethiopia,2015-06-19,2001-10-06,Silver
508ebad7-b7c9-4acf-a059-a0ee9132b63e,Jason,Porter,ithomas@example.org,001-388-249-6965x3287,"269 Paul Ranch, Riceside, VI 02005",Lake Nicoleview,Wyoming,84513,Guam,2015-12-02,1974-01-08,Platinum
b8db0672-f42d-47cc-80d4-af5974273ca3,Nancy,Baker,williamrodriguez@example.net,289-332-5288x0957,"USNV Allen, FPO AE 74865",North Jessicaland,Wisconsin,70323,Seychelles,2016-01-23,1987-01-26,Gold
43dac043-2a45-42ab-8cbf-edb0f264accc,Allison,Obrien,sarahcampos@example.net,546.357.8713,"301 Jeremy Bypass, Chadbury, KY 88185",Lewisberg,Washington,75348,Morocco,2019-07-13,1994-04-24,Gold
1825bc54-30be-445f-a835-14f2ceb81f9d,Collin,Jordan,ujenkins@example.org,+1-610-965-1333x87262,"8108 Tanya Terrace, East Richard, NJ 28517",Barreraburgh,Missouri,00783,Iceland,2017-06-15,1994-04-12,Gold
b253d218-6c4a-47ea-8906-17f2747b6dba,Susan,Cowan,smoore@example.org,4982050097,"USS York, FPO AE 78493",Lake Michellefurt,Delaware,75169,Egypt,2020-08-04,1951-02-09,Silver
956b8c0c-a849-4b92-ab52-52e314fcdd54,Annette,Stewart,james53@example.com,(524)675-1079x9118,"35427 Carr Valley Apt. 841, West Darrell, CT 97811",West Juan,Indiana,94559,Guam,2016-11-02,1985-08-03,Silver
40497b71-7d10-4c60-8162-7cf1439472e6,Rebecca,Mathis,waltersmaria@example.org,2523427868,"059 Russell Canyon, Michaelton, MH 47399",Lake John,Connecticut,46858,Slovakia (Slovak Republic),2020-05-27,1999-07-15,None
2790cebd-bfdd-43d9-9ee3-ac2af94d6204,Sara,Young,theresacochran@example.com,2259634216,"4330 Raymond Harbors Apt. 458, Frazierside, MA 04118",West Gregoryview,Arizona,14709,Nepal,2019-02-24,1991-01-22,Silver
fbf6e16f-9b30-40d5-afb7-8271504d281f,William,Cruz,jonathanfletcher@example.org,783.856.1595x14846,"66299 Sullivan Village, West Justinchester, WY 76520",Stevenmouth,Utah,28511,Malawi,2019-07-15,2001-01-26,Silver
a8aa7158-2b70-4525-bc67-f831cbc84759,Christopher,Robertson,clarence34@example.org,820.503.7917,"6320 Kimberly Forges Apt. 870, Port David, DC 61402",Stephaniemouth,South Carolina,94777,Uganda,2019-11-07,1996-12-22,Silver
28be9288-e5af-4e39-b227-64e68c41561b,Julia,Wells,karen48@example.com,+1-434-571-4345x5812,"316 Rivera Mountain, Brownchester, MS 77057",Port Nicoleshire,Missouri,63019,Albania,2024-03-25,1966-02-14,Gold
